대분류,중분류,순위,상호,대표자,소재지,등록번호,시공능력평가액,공사실적평가액,경영평가액,기술능력평가액,신인도평가액,건설공사실적,기술자수
전기설비,전기공사업,4658,주식회사 길상일렉트릭,안교헌,전남광주통합특별시 광산구 진곡산단5번로,광주-01145,4627461000,,,,,,
전기설비,전기공사업,16242,(주)길상전기,장은숙,부산광역시 강서구 대저중앙로237번길,부산-01354,1302645000,,,,,,
전기설비,전기공사업,9685,길샘정보통신,전남철,"인천광역시 계양구 임학안로6번길 7(임학동, 길샘빌딩)",인천-01533,2418376000,,,,,,
전기설비,전기공사업,12908,주식회사 길성,안은진,강원특별자치도 춘천시 동면 춘천순환로,강원-00979,1798926000,,,,,,
전기설비,전기공사업,21066,길영이엔씨 주식회사,강원호 외1명,제주특별자치도 제주시 조천읍 함덕남12길 19-9,제주-00704,243750000,,,,,,
전기설비,전기공사업,8442,주식회사 길진전력,정태수,강원특별자치도 춘천시 춘천로,경기-04081,2756290000,,,,,,
전기설비,전기공사업,1840,주식회사 길한,김상훈 외1명,전남광주통합특별시 나주시 교육길,전남-02112,9437346000,,,,,,
전기설비,전기공사업,3370,길흥전기(주),이소순,서울특별시 도봉구 마들로,서울-03060,6050427000,,,,,,
전기설비,전기공사업,5892,주식회사 김포전기,김동현,경기도 김포시 양촌읍 김포대로 1690-52,서울-05557,3773558000,,,,,,
전기설비,전기공사업,2178,김호이앤씨 주식회사,이현진,경기도 남양주시 별내면 청학로54번길 55-15,경기-00518,8414723000,,,,,,
전기설비,전기공사업,1683,주식회사 까뮤이앤씨,권순영 외1명,경기도 이천시 대월면 경충대로1937번길,부산-00048,10036265000,,,,,,
전기설비,전기공사업,16537,꾸미지오건설 주식회사,강신권,경상남도 진주시 진주대로500번길,경북-01363,1262692000,,,,,,
전기설비,전기공사업,7052,주식회사 나건,김현진,전남광주통합특별시 장성군 진원면 나노산단로,전남-02207,3243879000,,,,,,
전기설비,전기공사업,14801,주식회사 나경,손상문,울산광역시 울주군 범서읍 모두박1길,경북-01179,1500104000,,,,,,
전기설비,전기공사업,18257,나경 ENC,김연주,강원특별자치도 춘천시 신북읍 신북로,강원-01448,1025230000,,,,,,
전기설비,전기공사업,12775,주식회사 나경이엔씨,윤병유,서울특별시 관악구 신림로 366(신림동),서울-00517,1821002000,,,,,,
